fid,osm_id,structural_openness,number_of_floors,vegetation,material_rooftop,material_wall
1,338449341,closed_structure,one,yes,metal,concrete
2,338449359,closed_structure,one,yes,metal,concrete
4,338458832,closed_structure,one,yes,metal,concrete
5,338458855,closed_structure,one,yes,metal,concrete
6,360250563,closed_structure,one,yes,metal,concrete
7,360250700,closed_structure,one,yes,metal,brick
8,360252186,closed_structure,one,yes,metal,concrete
11,360252189,closed_structure,one,yes,metal,concrete
15,360264712,closed_structure,one,yes,metal,concrete
18,360264720,closed_structure,one,yes,metal,concrete
20,360266007,closed_structure,one,yes,metal,concrete
21,360266011,closed_structure,one,yes,shingles,concrete
22,360266405,closed_structure,one,yes,unclear,concrete
23,360266411,closed_structure,one,yes,metal,concrete
25,360267506,closed_structure,one,yes,metal,concrete
26,360267509,closed_structure,one,yes,unclear,concrete
27,360267510,closed_structure,one,yes,metal,concrete
28,360268139,closed_structure,one,yes,metal,concrete
29,360268142,closed_structure,one,yes,metal,concrete
30,360277255,closed_structure,one,yes,metal,concrete
31,360278188,closed_structure,one,yes,metal,concrete
33,360279215,closed_structure,one,yes,metal,concrete
36,360280444,closed_structure,one,yes,metal,concrete
37,360280449,closed_structure,one,yes,metal,concrete
38,360280450,closed_structure,one,yes,metal,concrete
39,360280453,closed_structure,one,yes,shingles,concrete
45,360284609,closed_structure,one,yes,metal,concrete
46,360285005,closed_structure,one,yes,metal,concrete
47,360286824,closed_structure,one,yes,metal,concrete
51,360286847,closed_structure,one,yes,metal,concrete
55,360288461,closed_structure,one,yes,metal,concrete
57,360291461,closed_structure,one,yes,metal,concrete
58,360294860,unclear,one,yes,metal,brick
59,360295708,closed_structure,one,yes,metal,concrete
60,360295711,partial,one,yes,metal,metal
62,360297354,closed_structure,one,yes,metal,concrete
64,360301344,closed_structure,one,yes,metal,concrete
67,360301354,closed_structure,one,yes,metal,concrete
70,360309783,closed_structure,one,yes,metal,concrete
73,360311206,closed_structure,one,yes,metal,concrete
75,360311212,closed_structure,one,yes,metal,concrete
86,360315482,closed_structure,one,yes,metal,concrete
89,360322208,closed_structure,one,yes,metal,concrete
90,360322235,closed_structure,one,yes,metal,concrete
93,360324343,closed_structure,one,yes,metal,concrete
97,360325690,closed_structure,one,yes,metal,concrete
99,360328402,closed_structure,one,yes,metal,concrete
100,360328584,closed_structure,one,yes,metal,concrete
103,360330097,unclear,unclear,yes,metal,unclear
106,360330431,closed_structure,one,yes,metal,concrete
109,360330437,closed_structure,one,yes,metal,concrete
111,360330607,closed_structure,one,yes,metal,concrete
115,360332576,closed_structure,one,yes,metal,concrete
120,360332589,closed_structure,one,yes,metal,concrete
126,360332601,closed_structure,one,yes,metal,concrete
132,360332618,unclear,one,yes,metal,concrete
134,360334364,closed_structure,one,yes,metal,concrete
140,360364999,closed_structure,one,yes,metal,metal
149,360475488,closed_structure,one,yes,metal,concrete
150,360490521,closed_structure,one,yes,metal,concrete
151,360490528,closed_structure,one,yes,metal,concrete
154,360529552,closed_structure,one,yes,metal,concrete
155,360529600,closed_structure,one,yes,metal,concrete
156,360537892,closed_structure,one,yes,metal,metal
159,360540042,closed_structure,one,yes,metal,concrete
161,360542161,closed_structure,one,yes,metal,concrete
167,360675010,unclear,one,yes,metal,metal
168,360675013,closed_structure,one,yes,metal,concrete
176,360695545,closed_structure,one,yes,shingles,concrete
180,360697556,closed_structure,one,yes,metal,concrete
181,360697839,closed_structure,one,yes,metal,concrete
184,360697868,closed_structure,one,yes,metal,concrete
189,360700179,closed_structure,one,yes,metal,concrete
195,360703886,closed_structure,one,yes,metal,concrete
196,360703887,closed_structure,one,yes,metal,concrete
198,360703889,closed_structure,one,yes,metal,concrete
201,360703894,closed_structure,one,yes,metal,concrete
203,360703899,closed_structure,one,yes,metal,concrete
204,360703903,closed_structure,unclear,yes,metal,concrete
205,360704477,closed_structure,one,yes,metal,concrete
210,360705388,closed_structure,one,yes,metal,concrete
214,360705392,closed_structure,one,yes,metal,brick
215,360705394,closed_structure,one,yes,metal,concrete
222,360710680,closed_structure,one,yes,metal,concrete
223,360711497,closed_structure,one,yes,metal,concrete
225,360711503,closed_structure,one,yes,metal,concrete
229,360711514,closed_structure,one,yes,metal,concrete
230,360711520,closed_structure,one,yes,metal,concrete
235,360711737,closed_structure,one,yes,metal,concrete
236,360713247,closed_structure,one,yes,metal,concrete
238,360713249,closed_structure,one,yes,metal,concrete
239,360713259,closed_structure,one,yes,metal,concrete
241,360713262,closed_structure,two,yes,shingles,concrete
243,360713593,closed_structure,one,yes,metal,concrete
246,360714686,closed_structure,one,yes,concrete,concrete
247,360715854,closed_structure,one,yes,metal,concrete
251,360769681,closed_structure,one,yes,metal,concrete
253,360816778,closed_structure,one,yes,metal,concrete
256,360817312,closed_structure,one,yes,metal,concrete
260,360826930,closed_structure,one,yes,metal,concrete
263,360833319,closed_structure,one,yes,metal,concrete
269,360838592,closed_structure,one,yes,metal,concrete
270,360838616,closed_structure,one,yes,metal,concrete
272,360838645,closed_structure,one,yes,metal,concrete
276,360840370,closed_structure,one,yes,metal,concrete
279,360841345,closed_structure,one,yes,metal,concrete
287,360845152,closed_structure,one,yes,metal,concrete
288,360845165,closed_structure,one,yes,metal,concrete
289,360845764,closed_structure,one,yes,metal,concrete
292,360847000,closed_structure,one,yes,metal,concrete
294,360848476,closed_structure,one,yes,metal,concrete
296,360849077,closed_structure,one,yes,metal,concrete
303,360849882,closed_structure,one,yes,metal,concrete
304,360849889,closed_structure,one,yes,metal,concrete
314,360852193,closed_structure,one,yes,metal,concrete
320,360856019,closed_structure,one,yes,metal,concrete
321,360856401,closed_structure,one,yes,metal,concrete
322,360857658,closed_structure,one,yes,metal,concrete
324,360859163,closed_structure,one,yes,metal,concrete
325,360859277,closed_structure,one,yes,metal,concrete
327,360859311,closed_structure,one,yes,metal,concrete
328,360864642,closed_structure,one,yes,metal,concrete
331,360874436,closed_structure,one,yes,metal,concrete
333,360874444,closed_structure,one,yes,metal,concrete
343,360885779,unclear,one,yes,metal,metal
344,360885789,unclear,one,yes,metal,metal
346,360934552,closed_structure,one,yes,metal,concrete
350,360937623,closed_structure,one,yes,metal,concrete
351,360938762,closed_structure,one,yes,metal,concrete
353,361014902,closed_structure,one,yes,metal,concrete
354,361014903,closed_structure,one,yes,metal,concrete
363,361370469,closed_structure,one,yes,metal,concrete
366,361382975,closed_structure,one,yes,metal,concrete
370,361383337,closed_structure,one,yes,metal,concrete
376,361387818,closed_structure,one,yes,metal,concrete
383,361391662,unclear,one,yes,metal,metal
384,361391706,closed_structure,one,yes,metal,concrete
386,361391826,closed_structure,one,yes,metal,concrete
389,361391836,closed_structure,one,yes,metal,concrete
390,361393331,closed_structure,one,yes,metal,concrete
400,361398943,closed_structure,one,yes,metal,concrete
403,361400370,closed_structure,one,yes,metal,concrete
406,361400376,closed_structure,one,yes,metal,concrete
408,361400380,closed_structure,one,yes,metal,concrete
414,361400405,closed_structure,one,yes,metal,concrete
417,361400420,closed_structure,one,yes,metal,concrete
419,361400431,closed_structure,one,yes,metal,concrete
420,361400435,closed_structure,one,yes,metal,concrete
423,361400781,closed_structure,one,yes,metal,concrete
424,361400783,closed_structure,one,yes,metal,concrete
426,361400785,closed_structure,one,yes,metal,concrete
429,361401171,closed_structure,one,yes,metal,concrete
430,361401429,closed_structure,one,yes,metal,concrete
435,361403217,closed_structure,one,yes,metal,concrete
437,361403221,unclear,one,yes,metal,metal
438,361403223,closed_structure,one,yes,metal,concrete
441,361409334,closed_structure,one,yes,metal,concrete
442,361409375,closed_structure,one,yes,metal,concrete
445,361410163,closed_structure,one,yes,metal,concrete
452,361410994,closed_structure,one,yes,metal,concrete
456,361417165,closed_structure,one,yes,metal,concrete
459,361417190,closed_structure,one,yes,metal,concrete
466,361450871,closed_structure,one,yes,metal,concrete
472,361454546,closed_structure,one,yes,metal,concrete
482,361459487,closed_structure,one,yes,metal,unclear
483,361459490,closed_structure,one,yes,metal,unclear
487,361524085,closed_structure,one,yes,metal,concrete
491,361528624,closed_structure,one,yes,metal,concrete
495,361545125,closed_structure,one,yes,metal,concrete
499,361547688,closed_structure,one,yes,metal,concrete
500,361547693,partial,one,no,metal,metal
501,361554041,closed_structure,one,yes,metal,concrete
503,361556744,closed_structure,one,yes,metal,concrete
505,361556748,closed_structure,one,yes,metal,concrete
524,361561109,closed_structure,one,yes,metal,concrete
527,361561114,closed_structure,one,yes,metal,concrete
528,361561115,closed_structure,one,yes,metal,concrete
531,361561163,closed_structure,one,yes,metal,concrete
532,361561170,closed_structure,one,yes,metal,concrete
533,361561181,closed_structure,one,yes,metal,concrete
537,361561189,closed_structure,one,yes,metal,concrete
542,361562882,closed_structure,one,yes,metal,concrete
545,361562898,closed_structure,one,yes,metal,concrete
547,361563597,closed_structure,one,yes,metal,concrete
548,361563602,closed_structure,one,yes,metal,concrete
553,361564622,unclear,one,yes,metal,metal
554,361564635,unclear,one,yes,metal,metal
562,361567348,unclear,one,yes,metal,metal
564,361567918,closed_structure,one,yes,metal,concrete
565,361569088,unclear,one,yes,metal,metal
567,361662348,closed_structure,one,yes,unclear,concrete
575,361666352,unclear,one,yes,metal,metal
582,361675919,closed_structure,one,no,metal,concrete
584,361677750,closed_structure,one,yes,metal,concrete
585,361678411,closed_structure,one,yes,metal,concrete
586,361678766,closed_structure,three,yes,concrete,concrete
589,361681862,closed_structure,one,no,metal,concrete
590,361682761,closed_structure,one,yes,metal,concrete
591,361684021,closed_structure,one,yes,metal,concrete
592,361684023,closed_structure,one,yes,metal,concrete
594,361684028,closed_structure,one,yes,metal,concrete
595,361684113,closed_structure,one,yes,metal,concrete
596,361684288,closed_structure,one,yes,metal,concrete
602,361686199,closed_structure,one,yes,metal,concrete
603,361686204,closed_structure,one,yes,metal,concrete
605,361686223,unclear,one,yes,metal,metal
606,361686224,closed_structure,one,yes,metal,concrete
607,361686226,closed_structure,one,yes,metal,concrete
612,361686260,closed_structure,one,yes,metal,concrete
614,361686290,closed_structure,one,yes,metal,concrete
615,361686294,closed_structure,one,yes,metal,concrete
619,361686367,closed_structure,one,yes,metal,concrete
623,361686777,closed_structure,one,no,metal,concrete
624,361690350,closed_structure,one,yes,metal,concrete
626,361690361,closed_structure,one,yes,metal,metal
628,361690396,closed_structure,one,yes,metal,concrete
632,361690682,closed_structure,one,yes,metal,concrete
634,361690686,closed_structure,one,yes,metal,concrete
636,361690689,closed_structure,one,yes,metal,concrete
640,361690702,closed_structure,one,yes,metal,concrete
641,361690703,closed_structure,one,yes,metal,concrete
642,361690704,closed_structure,one,yes,metal,concrete
644,361690709,closed_structure,one,yes,metal,concrete
649,361692432,unclear,one,yes,unclear,metal
655,361695479,closed_structure,one,yes,metal,concrete
656,361703167,closed_structure,one,yes,metal,concrete
664,361710377,unclear,one,yes,metal,metal
669,361710735,closed_structure,one,yes,metal,concrete
671,361710763,closed_structure,one,no,metal,concrete
