image,value,geometry,id
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--barrier--curb,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJwAKwLRIIEAcADw==,1025869052360449
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--barrier--curb,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJigOsLjoQQBAiGwcDKQ0XBwAEIQ8=,1025869055693782
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--structure--building,GiN4AgoGbXB5LW9yKIAgEhQYAwgBIg4JwDKuFBoDqwEIAAB6Dw==,1025869059027115
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,Gkl4AgoGbXB5LW9yKIAgEjoYAwgBIjQJ3hjiLaoBHxAPDwRJECEAD06TAQgfJCcIGQgABBcWJxQAKVoHIAAoABIPkgEzKg0YACIP,1025869062360448
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,Gix4AgoGbXB5LW9yKIAgEh0YAwgBIhcJvgfiLUIUEBIgB0IDFw0HDykTBwQXDw==,1025869065693781
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,GiR4AgoGbXB5LW9yKIAgEhUYAwgBIg8JggbYLyIgIA4ABBgtJw8=,1025869069027114
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,Git4AgoGbXB5LW9yKIAgEhwYAwgBIhYJboQpQggZCAAOGgAQBwg5BwMPBAkP,1025869072360447
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJuBr+JCoACgMAAwAACQQADw==,1025869075693780
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--flat--sidewalk,GnB4AgoGbXB5LW9yKIAgEmEYAwgBIlsJ6i26KMoCBFEMIQAfEDEAFxQ5BCcKAAgXJAcYGQQnCw8EESIABBIZEAAQEiAIAAgiKBAWDwQYEBgEIggICEIYUhbcAQUgLyopEC8AFxgpEiMAGRkfABMPC3EP,1025869079027113
"{'geometry': {'type': 'Point', 'coordinates': [39.242713261384, -6.8303463287202]}, 'id': '1025800309033990'}",construction--structure--building,GvgEeAIKBm1weS1vciiAIBLoBBgDCAEi4QQJAIAgqhAgBwgIDg8MeyCBAQRzEw8ADwQXDAAEEBQHClEMKQhpZhBKMlIQNCoOKDQyDDgWABwHJB8WACAfEAAIETYXFBcUACYhLAcIDyYHCA8+KTwPDg9AFzophAEnWjFqD4oBOQoXCQcHOQurBA9ZAGMMH5oCENIBQhAQNggwIjYQDBAUACogFAA+KhAACBAqEBQaEAAIEE4wEBoYCBogDAA6OigwIBI2QBAIJgccEggQAygICAQaCAAqQAwAICIMIAoAKEIMAAQQCAAeMhAIIDgQChYoBEpOIAAQDBoAOAgaLBAOByQIEGoQDwQ5bBAYEgzYBQA6DwchGAZqBUIHGAB5B0kDzAELABMaEwAHGV8aMwA5ICdKAxgNCAMaBwAHGA8IFypBQBs6OSgDEh8YBRAnIhswHRADECcaDxgDlAEIpAEAxAEQrAEAcgsaJQcXMRsAJQgjOhMADSkPBwcfCwcADxAJECcDeQspLxcZGEkIFw8ADwsZFxc1B1kIOSIfKLcBKhc4CS8TGWkIFx81BzkADxCBAQ9dKWsPFxcnD28AVSGBAQcxFw8fLSkjAAcQCwA1ACcqCRAfIAsaBzAhBxcXIwAlIQcvJw8ZMRMICxcHHwQZGAAWGgwACBEAHw8fURkAEgsYDQcrCAMAAFkDKQcHBwADIgBaCREDkQEPEQcXPS8DEQsHBx8jHwMpLUELSQsKBygRBwsgBwADBw8HDwm4GrcCKgMAAwAACgQABAAPCaMF1geaAQsYAEIIGAh0DBgAIBQqEB8IIA4ACBgIABBBA8UCFwcVEBsACwgHGA8=,1025869082360446
